1,1994-95 In Review,Size: 38 kb ; Last updated 19 Jan 2004,"1994-95 In Review The (Long Overdue) Third Annual Omaha Burgdorf Family's End-of-Year Review! Composed and Written for your Enlightenment by Darryl Proofread and Approved for your Protection by Joy Scribbled Upon for your Amusement by Cassandra Glanced At in Passing by Carl Well, here it is the end of 1995, and I'm finally getting around to writing this letter which should have gone out some six months ago. So much for ""annual,"" eh? I'd love to claim that circumstances beyond my contro"
2,1992-94 In Review,Size: 28 kb ; Last updated 19 Jan 2004,"1992-94 In Review Greetings from Darryl and Joy! OK, first things first. Yes, this is a ""form letter."" It's an American Tradition, after all, to write long annual letters and send them to all your friends and acquaintances, so that they can throw them out unread. It's of questionable utility as a tool for communication, but hey, it keeps the paper recycling folks in business. Thus, we present: The Second Annual (1994) Omaha Burgdorf End-of-Year Review! Now, if you're actually bothering"
3,Re: How reliable is password encryption? ,Size: 1 kb ; Posted 7 Jan 2004,": Ever since I started requiring profiles and passwords, I've : had a steady stream of complaints from folks saying that : quite suddenly their password isn't valid any more. At : first I wrote it off the the usual--user stupidity--but I : get easily two or three almost identical complains every : week, some even from people whom I credit with a grain of : intelligence. The same thing happens with my system. I have over a thousand registered users and invariably there will be two emails per week"
4,Re: How reliable is password encryption? (LINK) ,Size: 2 kb ; Posted 7 Jan 2004,": Ever since I started requiring profiles and passwords, I've : had a steady stream of complaints from folks saying that : quite suddenly their password isn't valid any more. At : first I wrote it off the the usual--user stupidity--but I : get easily two or three almost identical complains every : week, some even from people whom I credit with a grain of : intelligence. Does the encryption method used in Webbbs : have any kind of a history of instability, or being : suddenly unable to match new"
5,How reliable is password encryption? ,Size: 1 kb ; Posted 6 Jan 2004,"Ever since I started requiring profiles and passwords, I've had a steady stream of complaints from folks saying that quite suddenly their password isn't valid any more. At first I wrote it off the the usual--user stupidity--but I get easily two or three almost identical complains every week, some even from people whom I credit with a grain of intelligence. Does the encryption method used in Webbbs have any kind of a history of instability, or being suddenly unable to match new input to saved enc"
6,WebScripts: WebBBS,Size: 13 kb ; Last updated 8 Nov 2003,WebBBS is a Web-based bulletin board system which combines incredible versatility with astonishing ease of maintenance!
7,Re: Webbbs Administrative Script (LINK) ,Size: 1 kb ; Posted 11 Oct 2003,": I registered my Webbbs application. However, I don't seem to : know where my User Name and Password are for the Admin : piece. Is there a way to email and request this : information? Sure, send Darryl an email with as much information concerning when you registered (aproximate time frame, how you paid - credit card, check, etc.. email address you used, etc..) --KTFA"
8,Re: Russian spam attacks (LINK) ,Size: 2 kb ; Posted 2 Oct 2003,": To Darryl and fellow WebBBS admins, : In the past several weeks, our WebBBS site has come under : attack from a sophisticated spammer based in Russia. : I am starting this new threads to see if any other WebBBS : sites have come under similar attack, and to coordinate a : response to this spammer. : Logs show that the attacker's script issues a rapid-fire : series of WebBBS commands, first creating a new profile, : then posting a series of messages under the new alias. : We have suffered fourt"
9,Russian spam attacks (LINK),Size: 2 kb ; Posted 2 Oct 2003,"To Darryl and fellow WebBBS admins, In the past several weeks, our WebBBS site has come under attack from a sophisticated spammer based in Russia. I am starting this new threads to see if any other WebBBS sites have come under similar attack, and to coordinate a response to this spammer. Logs show that the attacker's script issues a rapid-fire series of WebBBS commands, first creating a new profile, then posting a series of messages under the new alias. We have suffered fourteen such attacks in"
10,Re: frequency cap ,Size: 1 kb ; Posted 24 Sep 2003,": Can I have a frequency cap for a campaign with Webadverts : 3.20? : Example: I want a banner to be displayed only twice to the : same user, either for the whole duration of the campaign, : or for a given period. This could be cookie based. You can set how many times a particular user will be credited (recorded) as viewing of (or clicking on) a banner by setting the $DupViewTime, $DupClickTime, $ClickViewTime variable accordingly. They will not stop the displaying of the ads, just the recording"
