1,WebScripts: Examples,Size: 19 kb ; Last updated 2 Feb 2004,"Support WebScripts' Advertisers! Support WebScripts' Advertisers! Examples Listed below are a variety of sites on which you can see the various scripts from the WebScripts collection in action. Visit them to get a feel for how others are already using the programs. Remember, though, that these are real sites; please don't post ""test"" messages on forums or otherwise make yourself a nuisance to the sites' owners! Please also remember that I have nothing to do with most of these sites, so"
2,Re: Multiple Calendars ,Size: 1 kb ; Posted 31 Jan 2004,": Your docs.txt file mentions: ""You could even set up distinct : calendars, if you wished, to display varying subsets of the : list of data files."" But I am unable to locate any support or : code for this option.... I'm not sure what ""option"" you're looking for. All the section of the doc file you quoted is saying is that you can set up multiple calendars that draw from the same selection of data files, instead of having to have completely separate sets of data files for each"
3,Guest Book,Size: 3 kb ; Last updated 28 Jan 2004,"Guest Book Welcome to our guest book! Feel free to browse through the comments which other visitors have left, or to post your own. (This is actually sort of ""Guest Book version 2,"" by the way. We shut down our original guest book at the end of 2002 in response to ongoing attacks by spammers. But we've decided now to give it another try.) Feel free to post pretty much whatever you like, but please understand that we do reserve the right to delete completely irrelevant or patently offen"
4,Re: Message View Count reset problem,Size: 9 kb ; Posted 22 Jan 2004,": Ok then, how about your configurations (like the welcome : message states) : --KTFA Sorry, here is the webbbs_settings.pl for the board. Paul H ................. ############################################ ## ## ## WebBBS ## ## by Darryl Burgdorf ## ## (e-mail burgdorf@awsd.com) ## ## ## ## version: 5.12 ## ## last modified: 12/07/02 ## ## copyright (c) 2002 ## ## ## ## latest version is available from ## ## http://awsd.com/scripts/ ## ## ## ############################################ # COPY"
5,The Omaha Burgdorf Family's Home Page,Size: 6 kb ; Last updated 19 Jan 2004,"The home page of the Omaha branch of the Burgdorf family. Links, personal info, and more! Stop by and pay us a visit!"
6,"Marriages, Unions and Compromises",Size: 10 kb ; Last updated 19 Jan 2004,"Marriages, Unions and Compromises An Alternate Take on the Question of Gay Marriage by Darryl C. Burgdorf Though not by any particular design, the month of October, 2003, showcased the division in our country where the issue of gay marriage is concerned. The week of October 5 was ""National 'Coming Out' Week,"" a week largely dedicated to the idea that people ought to be free to be themselves, and not feel that they have to hide who they are or pretend to be something they're not in orde"
7,Personal Notes,Size: 7 kb ; Last updated 19 Jan 2004,"Personal Notes Welcome to the Omaha Burgdorf Family's Web site! I'd like to be able to assume that since you're visiting it, you already have some idea of who we are. But with the way search engines on the Web work, there's unfortunately no guarantee on that point. So assuming that you don't just leave immediately to head for the nearest porn site, this page will give you some basic background information about us before you start wading into the really detailed stuff! (Caveat: This page was las"
8,Guest Book Archive,Size: 71 kb ; Last updated 19 Jan 2004,"Guest Book Archive We've had a family Web site since late 1995, when the World-Wide Web was still young and innocent. Our original guest book was set up in January of 1996, and collected signatures until the end of 2002, when ongoing attacks by spammers finally forced us to disable the ability to post new messages. Though a lot of ""chaff"" has been removed in the interest of keeping the file size down, what appears below is a significant sampling of what was posted on that guest book du"
9,The Burgdorfs' Photo Gallery,Size: 7 kb ; Last updated 19 Jan 2004,"Photo Album Pictures? We've Got Pictures! We figured, what the heck. As long as we've scanned a few photos, we might as well make them available here online. To see the full-size images, just click on the thumbnails below. Enjoy! 2000 - 2003 2003 2002 We have here an amazingly well timed picture of Cassandra's first board break (on July 29, 2002), followed by our latest annual photo set, also from 2002. We just didn't take many pictures in 2003. All we have here from that year is the kids' most"
10,The Death of a King,Size: 4 kb ; Last updated 19 Jan 2004,"The Death of a King by Darryl C. Burgdorf On December 23, 1991, Thomas James Mullen, the man who would eventually have become my father-in-law, died at the age of 69. He had been in and out of hospitals for several years. He suffered from renal failure, and had only a few weeks earlier been diagnosed with resurgent cancer. The direct cause of his death was a stroke which affected his respiratory and circulatory functions. I had only known the man for a few months, but had been greatly impressed"
11, 1999-2001 In Review,Size: 13 kb ; Last updated 19 Jan 2004,"1999-2000 In Review A Report from the Midwestern Front How the Omaha Burgdorfs are faring ""in and around"" the year 2000 Well, as I sit here, it's early April of the year 2001, over fifteen months past the date when civilization as we know it was supposed to come to an end as a result of the Y2K ""millennium"" computer bug. I suppose it's time for me to give up hoping that I'll be able to blame your failure to receive a new update letter on the widespread collapse of our societa"
12,1998 In Review,Size: 15 kb ; Last updated 19 Jan 2004,"1998 In Review 1998 In Review: The Sixth Annual Report from The Omaha Burgdorfs! OK, here we go again. It's time for yet another of our (more or less) annual letters in which we pretend that you're interested in what we've been doing! We'll start right off with the most important subject: the kids. They're all faring quite well, of course. (And no, that's not all I'm going to say about them!) Deirdre is now walking (well, running, actually) just fine, though she's still a bit awkward going down"
13,1996-97 In Review,Size: 21 kb ; Last updated 19 Jan 2004,"1996-97 In Review Well, it's that time again! (Time to change our socks? Time to send for the free brochure? Time to pay the piper? Time to stand up and be counted? Time to....) Nope, it's time for.... THE COMBINED FOURTH & FIFTH ANNUAL OMAHA BURGDORF YEARS IN REVIEW! (December, 1997) Yes, our fifth anniversary has come and gone -- OK, OK, it's long gone -- and so it's time for yet another of our annual looks at what we've been doing here in the Heartland of America! (For the record, I'm usi"
14,1994-95 In Review,Size: 38 kb ; Last updated 19 Jan 2004,"1994-95 In Review The (Long Overdue) Third Annual Omaha Burgdorf Family's End-of-Year Review! Composed and Written for your Enlightenment by Darryl Proofread and Approved for your Protection by Joy Scribbled Upon for your Amusement by Cassandra Glanced At in Passing by Carl Well, here it is the end of 1995, and I'm finally getting around to writing this letter which should have gone out some six months ago. So much for ""annual,"" eh? I'd love to claim that circumstances beyond my contro"
15,1992-94 In Review,Size: 28 kb ; Last updated 19 Jan 2004,"1992-94 In Review Greetings from Darryl and Joy! OK, first things first. Yes, this is a ""form letter."" It's an American Tradition, after all, to write long annual letters and send them to all your friends and acquaintances, so that they can throw them out unread. It's of questionable utility as a tool for communication, but hey, it keeps the paper recycling folks in business. Thus, we present: The Second Annual (1994) Omaha Burgdorf End-of-Year Review! Now, if you're actually bothering"
16,Problem installing 5.12,Size: 5 kb ; Posted 16 Jan 2004,"Though I had it all set but...........getting error message when I try to run it: The server encountered an internal error or misconfiguration and was unable to complete your request. I can't view the log so I don't know what causing it. Below are the configuration and settings files: ================================= webBBS Settings: ## (1) Specify the locations of your WebBBS files: $scripts_dir = ""/home/board/webBBS""; $webbbs_basic = ""$scripts_dir/webbbs_basic.pl""; $webbbs"
17,Re: Moving forums to a new server,Size: 12 kb ; Posted 7 Jan 2004,"Hi Kevin, Ok, I added that line to the config.pl and there was no different result, still got an internal server error. The true path turns out to be somewhat different, you were right, but it still doesn't run...same error message. See config.pl and settings.pl files below. Tech support asked why the path to perl is missing? It isn't missing! #!/usr/local/bin/perl ############################################ ## ## ## WebBBS ## ## by Darryl Burgdorf ## ## (e-mail burgdorf@awsd.com) ## ## ## ## v"
18,Re: ads_expire.pl ->syntax error ,Size: 5 kb ; Posted 5 Jan 2004,": Sure, re-read the welcome message to this forum and follow : it's instructions (show us your configuration settings so : we'll be informed enough to help instead of just being able : to guess at what you may have done wrong) here are my settings... #!/usr/bin/perl ############################################ ## ## ## WebAdverts Expire Date Checker ## ## by Darryl Burgdorf ## ## (e-mail burgdorf@awsd.com) ## ## ## ## last modified: 09/13/02 ## ## copyright (c) 2002 ## ## ## ## Compatible with W"
19,Re: Your Druthers are Already Accommodated,Size: 2 kb ; Posted 4 Jan 2004,": If you are open for suggestions for updates to the software : - I would love to have an option that allows chronological : display of *threads only* and will not display these recent : replies as if they are detached from the original threads. Such an option is already available, and has been for almost as long as WebBBS has existed. Choose the ""compressed"" list style, and the index page will display threads rather than individual messages, and all threads with responses new enough t"
20,Re: emoticons (LINK),Size: 13 kb ; Posted 4 Jan 2004,: Both Config.pl _______________ #!/usr/bin/perl ############################################ ## ## ## WebBBS ## ## by Darryl Burgdorf ## ## (e-mail burgdorf@awsd.com) ## ## ## ## version: 4.33 ## ## last modified: 6/8/00 ## ## copyright (c) 2000 ## ## ## ## latest version is available from ## ## http://awsd.com/scripts/ ## ## ## ############################################ # COPYRIGHT NOTICE: # # Copyright 2000 Darryl C. Burgdorf. All Rights Reserved. # # This program is being distributed as sh
21,Re: Prevent new replies from looking like new threads?,Size: 2 kb ; Posted 3 Jan 2004,": In webbbs_settings.pl I have $DefaultTime = ""10 Day(s)""; : Therefore, if a visitor does not choose a different setting : in Preferences (in my case, I also had this set at 10 days in : one of my browsers), he will see listed on the first index : page threads that started within the last 10 days PLUS : replies to older threads and that these replies will appear : to be new threads (at first glance). If you have your preferences set to display on the main index page those messages post"
22,Re: Threads and posts disappearing; browser problems,Size: 1 kb ; Posted 3 Jan 2004,": Many posts are disappearing.... The ""disappearing"" posts are in fact obviously still present, since as you yourself pointed out, they can still be seen and read. So in all probability, the only reason they seem to be ""missing"" is that they're too old to be displayed on the main index page. (The difference in what's seen in various browsers would simply be a result of different settings being used.) Change your settings so that messages don't ""fall off"" the main in"
23,Happy New Year! ,Size: 0 kb ; Posted 1 Jan 2004,May 2004 bring you all the best! -- Darryl
24, Re: Password problems,Size: 1 kb ; Posted 28 Dec 2003,": I'm having a problem with some people registering on the : forum but not receiving their passwords.... Anyone got any : ideas why this might be happening? Other than the obvious (that they're entering incorrect passwords), the one possibility that comes to mind is that some of your visitors are not receiving the e-mails because their ISPs are blocking them, incorrectly assuming them to be spam. : Also, what can I do to help those who've not had passwords : sent. Change the passwords manually v"
25,Merry Christmas.... ,Size: 0 kb ; Posted 25 Dec 2003,"Happy Hanukkah, Kwanza, New Year, Solstice, etc.... Enjoy whichever holiday(s) you're celebrating! -- Darryl"
